onset	duration	dsgn_onset	dsgn_duration	trial_type	database	identifier	valence	arousal
12.008	2.024	12.000	2.000	in_stim	iaps	5510	5.15	2.82
14.032	1.988	14.000	2.000	in_prep	n/a	n/a	n/a	n/a
16.020	7.999	16.000	8.000	in_feel	n/a	n/a	n/a	n/a
26.416	1.986	26.404	2.000	ex_stim	iaps	4598	6.33	5.53
31.629	1.986	31.615	2.000	ex_stim	iaps	2040	8.17	4.64
36.117	2.021	36.117	2.000	in_stim	iaps	8033	6.66	5.01
38.138	1.987	38.117	2.000	in_prep	n/a	n/a	n/a	n/a
40.125	8.012	40.117	8.000	in_feel	n/a	n/a	n/a	n/a
52.116	2.020	52.116	2.000	in_stim	iaps	7283	5.5	3.81
54.136	1.986	54.116	2.000	in_prep	n/a	n/a	n/a	n/a
56.122	8.019	56.116	8.000	in_feel	n/a	n/a	n/a	n/a
69.176	1.986	69.162	2.000	ex_stim	iaps	7492	7.41	4.91
75.855	1.988	75.828	2.000	ex_stim	iaps	5950	5.99	6.79
82.336	1.986	82.314	2.000	ex_stim	iaps	4597	6.95	5.91
87.096	1.988	87.072	2.000	ex_stim	iaps	5010	7.14	3
92.788	1.987	92.767	2.000	ex_stim	iaps	2095	1.79	5.25
100.600	2.021	100.586	2.000	ex_stim	iaps	8158	6.53	6.49
105.158	1.986	105.126	2.000	in_stim	iaps	3063	1.49	6.35
107.144	1.989	107.126	2.000	in_prep	n/a	n/a	n/a	n/a
109.133	8.014	109.126	8.000	in_feel	n/a	n/a	n/a	n/a
121.400	2.002	121.364	2.000	ex_stim	iaps	2217	6.24	4.08
125.593	1.988	125.555	2.000	in_stim	iaps	9322	2.24	5.73
127.581	1.987	127.555	2.000	in_prep	n/a	n/a	n/a	n/a
129.568	8.017	129.555	8.000	in_feel	n/a	n/a	n/a	n/a
140.369	1.987	140.337	2.000	ex_stim	iaps	2352	6.94	4.99
146.400	1.986	146.371	2.000	ex_stim	iaps	8190	8.1	6.28
152.092	1.986	152.067	2.000	ex_stim	iaps	1301	3.7	5.77
159.797	2.020	159.784	2.000	ex_stim	iaps	9415	2.82	4.91
166.239	1.987	166.213	2.000	ex_stim	iaps	9184	2.47	5.75
171.753	1.987	171.736	2.000	ex_stim	iaps	5760	8.05	3.22
176.003	1.987	175.971	2.000	ex_stim	iaps	1620	7.37	3.54
182.172	1.987	182.144	2.000	ex_stim	iaps	5833	8.22	5.71
188.272	2.021	188.249	2.000	ex_stim	iaps	6550	2.73	7.09
195.874	1.987	195.835	2.000	ex_stim	iaps	5395	5.34	4.23
202.801	2.022	202.775	2.000	ex_stim	iaps	8200	7.54	6.35
209.209	1.987	209.164	2.000	ex_stim	iaps	3102	1.4	6.58
216.612	2.021	216.586	2.000	ex_stim	iaps	6563	1.77	6.85
221.033	1.987	220.992	2.000	in_stim	iaps	7010	4.94	1.76
223.020	2.022	222.992	2.000	in_prep	n/a	n/a	n/a	n/a
225.042	7.992	224.992	8.000	in_feel	n/a	n/a	n/a	n/a
237.250	1.990	237.216	2.000	ex_stim	iaps	2222	7.11	4.08
242.464	1.989	242.427	2.000	in_stim	iaps	8341	6.25	6.4
244.453	2.021	244.427	2.000	in_prep	n/a	n/a	n/a	n/a
246.474	7.979	246.427	8.000	in_feel	n/a	n/a	n/a	n/a
260.215	1.994	260.175	2.000	ex_stim	iaps	9220	2.06	4
265.873	2.022	265.853	2.000	in_stim	iaps	9145	3.2	5.05
267.895	1.987	267.853	2.000	in_prep	n/a	n/a	n/a	n/a
269.882	8.022	269.853	8.000	in_feel	n/a	n/a	n/a	n/a
279.995	1.988	279.955	2.000	ex_stim	iaps	4490	6.27	6.06
284.933	1.989	284.898	2.000	in_stim	iaps	9402	4.48	5.07
286.922	1.988	286.898	2.000	in_prep	n/a	n/a	n/a	n/a
288.910	8.015	288.898	8.000	in_feel	n/a	n/a	n/a	n/a
301.925	1.993	301.894	2.000	in_stim	iaps	6231	2.49	6.82
303.918	2.023	303.894	2.000	in_prep	n/a	n/a	n/a	n/a
305.941	7.978	305.894	8.000	in_feel	n/a	n/a	n/a	n/a
319.502	1.996	319.474	2.000	ex_stim	iaps	5020	6.32	2.63
326.431	1.989	326.397	2.000	ex_stim	iaps	4235	5.39	5.29
331.569	2.002	331.547	2.000	ex_stim	iaps	8186	7.01	6.84
338.743	2.021	338.720	2.000	ex_stim	iaps	7217	4.82	2.43
343.643	2.022	343.632	2.000	ex_stim	iaps	9102	3.34	4.84
349.846	1.986	349.818	2.000	ex_stim	iaps	3000	1.45	7.26
355.154	2.021	355.137	2.000	ex_stim	iaps	2271	4.2	3.74
361.867	1.993	361.825	2.000	ex_stim	iaps	1333	6.11	3.17
368.657	1.986	368.623	2.000	in_stim	iaps	4668	6.67	7.13
370.643	2.020	370.623	2.000	in_prep	n/a	n/a	n/a	n/a
372.663	7.980	372.623	8.000	in_feel	n/a	n/a	n/a	n/a
