onset	duration	dsgn_onset	dsgn_duration	trial_type	database	identifier	valence	arousal
12.008	1.993	12.000	2.000	ex_stim	iaps	1750	8.28	4.1
16.373	2.028	16.368	2.000	ex_stim	iaps	5982	7.61	4.51
21.322	1.997	21.297	2.000	in_stim	iaps	2210	4.38	3.56
23.319	1.994	23.297	2.000	in_prep	n/a	n/a	n/a	n/a
25.313	8.019	25.297	8.000	in_feel	n/a	n/a	n/a	n/a
35.563	1.992	35.528	2.000	in_stim	iaps	1630	7.26	4.45
37.555	1.994	37.528	2.000	in_prep	n/a	n/a	n/a	n/a
39.549	8.002	39.528	8.000	in_feel	n/a	n/a	n/a	n/a
52.742	1.993	52.726	2.000	ex_stim	iaps	2540	7.63	3.97
58.548	1.994	58.518	2.000	ex_stim	iaps	9120	3.2	5.77
62.824	1.998	62.784	2.000	ex_stim	iaps	4641	7.2	5.43
70.701	1.993	70.686	2.000	ex_stim	iaps	7100	5.24	2.89
75.924	1.995	75.906	2.000	ex_stim	iaps	2520	4.13	4.22
80.772	1.994	80.740	2.000	ex_stim	iaps	1050	3.46	6.87
87.201	2.027	87.202	2.000	in_stim	iaps	5623	7.19	5.67
89.228	1.995	89.202	2.000	in_prep	n/a	n/a	n/a	n/a
91.223	7.981	91.202	8.000	in_feel	n/a	n/a	n/a	n/a
104.389	1.992	104.377	2.000	in_stim	iaps	1710	8.34	5.41
106.381	1.992	106.377	2.000	in_prep	n/a	n/a	n/a	n/a
108.373	8.001	108.377	8.000	in_feel	n/a	n/a	n/a	n/a
121.078	1.994	121.066	2.000	in_stim	iaps	9623	3.04	6.05
123.072	2.004	123.066	2.000	in_prep	n/a	n/a	n/a	n/a
125.076	8.011	125.066	8.000	in_feel	n/a	n/a	n/a	n/a
135.936	1.991	135.927	2.000	ex_stim	iaps	4503	6	4.93
142.633	2.025	142.639	2.000	ex_stim	iaps	9832	2.94	4.46
147.062	1.992	147.055	2.000	ex_stim	iaps	9360	4.03	2.63
153.839	1.991	153.832	2.000	ex_stim	iaps	7175	4.87	1.72
161.083	1.993	161.076	2.000	ex_stim	iaps	4619	6.46	5.09
168.946	1.992	168.939	2.000	ex_stim	iaps	3310	4.37	5.43
176.261	1.993	176.255	2.000	ex_stim	iaps	1022	4.26	6.02
183.792	1.995	183.780	2.000	ex_stim	iaps	2020	5.68	3.34
190.054	2.029	190.061	2.000	ex_stim	iaps	6300	2.59	6.61
197.749	1.993	197.739	2.000	ex_stim	iaps	7211	4.81	4.2
202.147	1.991	202.128	2.000	ex_stim	iaps	9331	2.87	3.85
206.508	1.992	206.496	2.000	ex_stim	iaps	9622	3.1	6.26
213.308	2.014	213.305	2.000	in_stim	iaps	1610	7.82	3.08
215.322	1.991	215.305	2.000	in_prep	n/a	n/a	n/a	n/a
217.313	8.000	217.305	8.000	in_feel	n/a	n/a	n/a	n/a
227.823	1.993	227.816	2.000	ex_stim	iaps	4531	5.81	4.28
234.351	1.991	234.350	2.000	ex_stim	iaps	3250	3.78	6.29
242.283	1.973	242.263	2.000	in_stim	iaps	3170	1.46	7.21
244.256	2.000	244.263	2.000	in_prep	n/a	n/a	n/a	n/a
246.256	8.012	246.263	8.000	in_feel	n/a	n/a	n/a	n/a
257.535	1.997	257.531	2.000	ex_stim	iaps	9254	2.03	6.04
263.828	1.994	263.812	2.000	ex_stim	iaps	8475	4.85	6.52
269.015	2.028	269.024	2.000	ex_stim	iaps	4626	7.6	5.78
274.380	1.999	274.371	2.000	in_stim	iaps	5972	3.85	6.34
276.379	1.995	276.371	2.000	in_prep	n/a	n/a	n/a	n/a
278.374	8.005	278.371	8.000	in_feel	n/a	n/a	n/a	n/a
290.882	2.027	290.893	2.000	in_stim	iaps	5920	5.16	6.23
292.909	1.995	292.893	2.000	in_prep	n/a	n/a	n/a	n/a
294.904	8.006	294.893	8.000	in_feel	n/a	n/a	n/a	n/a
308.359	1.993	308.353	2.000	ex_stim	iaps	9435	2.27	5
313.238	1.993	313.242	2.000	in_stim	iaps	2060	6.49	3.8
315.231	2.014	315.242	2.000	in_prep	n/a	n/a	n/a	n/a
317.245	8.016	317.242	8.000	in_feel	n/a	n/a	n/a	n/a
328.768	1.994	328.764	2.000	ex_stim	iaps	1931	4	6.8
333.647	1.980	333.629	2.000	ex_stim	iaps	4800	6.44	7.07
339.407	1.991	339.398	2.000	in_stim	iaps	8501	7.91	6.44
341.398	1.993	341.398	2.000	in_prep	n/a	n/a	n/a	n/a
343.391	8.010	343.398	8.000	in_feel	n/a	n/a	n/a	n/a
355.394	1.995	355.375	2.000	ex_stim	iaps	7043	5.17	3.68
362.434	1.989	362.429	2.000	ex_stim	iaps	7285	5.67	3.83
367.052	2.008	367.043	2.000	ex_stim	iaps	9163	2.1	6.53
374.590	1.992	374.596	2.000	in_stim	iaps	5000	7.08	2.67
376.582	2.027	376.596	2.000	in_prep	n/a	n/a	n/a	n/a
378.609	8.001	378.596	8.000	in_feel	n/a	n/a	n/a	n/a
392.447	1.993	392.444	2.000	ex_stim	iaps	2279	4.71	3.74
400.229	2.025	400.233	2.000	ex_stim	iaps	5750	6.6	3.14
405.826	1.994	405.813	2.000	ex_stim	iaps	2058	7.91	5.09
412.938	1.989	412.935	2.000	ex_stim	iaps	4770	4.91	5.85
420.291	1.991	420.291	2.000	ex_stim	iaps	8160	5.07	6.97
427.341	2.005	427.341	2.000	ex_stim	iaps	2722	3.47	3.52
432.918	1.994	432.897	2.000	ex_stim	iaps	3500	2.21	6.99
438.279	1.991	438.277	2.000	ex_stim	iaps	4550	4.95	5
446.213	1.994	446.186	2.000	ex_stim	iaps	7490	5.52	2.42
453.423	1.992	453.401	2.000	ex_stim	iaps	3015	1.52	5.9
457.694	1.991	457.683	2.000	in_stim	iaps	9090	3.56	3.97
459.685	1.991	459.683	2.000	in_prep	n/a	n/a	n/a	n/a
461.676	8.000	461.683	8.000	in_feel	n/a	n/a	n/a	n/a
474.345	1.991	474.342	2.000	ex_stim	iaps	2205	1.95	4.53
481.520	1.992	481.521	2.000	ex_stim	iaps	7031	4.52	2.03
488.524	1.993	488.501	2.000	ex_stim	iaps	2351	5.49	4.74
494.501	1.993	494.503	2.000	in_stim	iaps	8185	7.57	7.27
496.494	2.027	496.503	2.000	in_prep	n/a	n/a	n/a	n/a
498.521	7.991	498.503	8.000	in_feel	n/a	n/a	n/a	n/a
511.561	1.990	511.543	2.000	ex_stim	iaps	6930	4.39	4.88
517.823	1.990	517.804	2.000	in_stim	iaps	1460	8.21	4.31
519.813	1.991	519.804	2.000	in_prep	n/a	n/a	n/a	n/a
521.804	7.999	521.804	8.000	in_feel	n/a	n/a	n/a	n/a
