onset	duration	trial_type	fb_valence	fb_arousal
0.002	41.998	rest	n/a	n/a
42.000	4.002	fb_a_neg	0.000	0.000
46.002	10.000	feel	n/a	n/a
56.002	4.000	fb_a_neg	0.089	0.469
60.002	9.999	feel	n/a	n/a
70.001	4.001	fb_a_neg	0.023	-0.777
74.002	9.999	feel	n/a	n/a
84.001	4.001	fb_a_neg	-0.286	-0.831
88.002	9.999	feel	n/a	n/a
98.001	4.001	fb_a_neg	0.443	-0.814
102.002	10.000	rest	n/a	n/a
112.002	4.000	fb_v_pos	0.000	0.000
116.002	9.999	feel	n/a	n/a
126.001	4.001	fb_v_pos	0.023	0.340
130.002	10.000	feel	n/a	n/a
140.002	3.999	fb_v_pos	-0.277	0.634
144.001	10.000	feel	n/a	n/a
154.001	4.001	fb_v_pos	-0.066	0.143
158.002	9.999	feel	n/a	n/a
168.001	4.001	fb_v_pos	0.291	0.880
172.002	9.999	rest	n/a	n/a
182.001	4.001	fb_a_pos	0.000	0.000
186.002	9.998	feel	n/a	n/a
196.000	4.000	fb_a_pos	0.143	0.074
200.000	10.001	feel	n/a	n/a
210.001	4.001	fb_a_pos	0.397	0.186
214.002	9.999	feel	n/a	n/a
224.001	4.001	fb_a_pos	0.394	-0.529
228.002	9.998	feel	n/a	n/a
238.000	4.001	fb_a_pos	-0.560	0.660
242.001	10.000	rest	n/a	n/a
252.001	4.000	fb_v_neg	0.000	0.000
256.001	10.001	feel	n/a	n/a
266.002	3.998	fb_v_neg	-0.597	0.183
270.000	10.000	feel	n/a	n/a
280.000	4.001	fb_v_neg	-0.294	-0.071
284.001	9.999	feel	n/a	n/a
294.000	4.001	fb_v_neg	-0.134	0.240
298.001	9.999	feel	n/a	n/a
308.000	4.001	fb_v_neg	-0.517	0.374
312.001	9.999	rest	n/a	n/a
322.000	4.000	fb_v_pos	0.000	0.000
326.000	10.002	feel	n/a	n/a
336.002	4.000	fb_v_pos	0.374	0.191
340.002	9.998	feel	n/a	n/a
350.000	4.001	fb_v_pos	0.046	-0.151
354.001	10.001	feel	n/a	n/a
364.002	3.998	fb_v_pos	0.146	-0.411
368.000	10.003	feel	n/a	n/a
378.003	3.999	fb_v_pos	0.463	-0.146
382.002	10.000	rest	n/a	n/a
392.002	4.000	fb_a_pos	0.000	0.000
396.002	9.999	feel	n/a	n/a
406.001	4.001	fb_a_pos	0.931	-0.131
410.002	10.000	feel	n/a	n/a
420.002	4.000	fb_a_pos	0.537	0.134
424.002	10.000	feel	n/a	n/a
434.002	4.000	fb_a_pos	0.297	0.331
438.002	9.999	feel	n/a	n/a
448.001	4.001	fb_a_pos	0.340	0.631
452.002	9.999	rest	n/a	n/a
462.001	3.999	fb_a_neg	0.000	0.000
466.000	10.003	feel	n/a	n/a
476.003	3.999	fb_a_neg	0.463	0.086
480.002	10.000	feel	n/a	n/a
490.002	3.999	fb_a_neg	0.540	-0.134
494.001	9.999	feel	n/a	n/a
504.000	4.002	fb_a_neg	0.057	-0.794
508.002	9.998	feel	n/a	n/a
518.000	4.002	fb_a_neg	-0.031	-0.563
522.002	9.998	rest	n/a	n/a
532.000	4.002	fb_v_neg	0.000	0.000
536.002	10.000	feel	n/a	n/a
546.002	4.000	fb_v_neg	0.074	-0.351
550.002	10.000	feel	n/a	n/a
560.002	3.999	fb_v_neg	-0.157	0.171
564.001	9.999	feel	n/a	n/a
574.000	4.001	fb_v_neg	-0.069	0.251
578.001	9.999	feel	n/a	n/a
588.000	4.001	fb_v_neg	-0.514	0.003
592.001	27.999	finish	n/a	n/a
